p cnf 150 630
-73 86 -76 0
-92 101 -141 0
-75 78 -3 0
-35 -144 -79 0
-146 -39 60 0
105 54 142 0
139 -115 -35 0
141 30 20 0
9 -136 -92 0
-135 -136 -36 0
147 119 -146 0
-73 122 -104 0
-150 105 -60 0
-28 -97 131 0
56 34 91 0
49 -67 145 0
-127 -68 -67 0
110 149 -134 0
-50 128 -109 0
-64 -89 55 0
-16 -121 59 0
77 110 106 0
-133 -35 131 0
98 -100 -17 0
-72 70 145 0
-47 58 71 0
-43 111 57 0
-10 -43 57 0
-93 48 -19 0
80 67 134 0
-89 10 70 0
-45 -24 -133 0
-69 -63 68 0
146 140 77 0
121 -103 -139 0
-141 99 6 0
-64 8 141 0
29 4 67 0
88 100 73 0
57 4 101 0
29 50 -56 0
68 -62 -109 0
144 -131 101 0
-113 104 74 0
-20 -57 84 0
105 -22 95 0
-132 -2 -134 0
129 36 108 0
142 -37 4 0
-44 136 -112 0
-127 -136 -98 0
-80 48 5 0
-120 -84 -70 0
33 137 11 0
-54 103 133 0
74 -44 -67 0
43 -26 37 0
118 -15 96 0
-39 145 -21 0
6 -38 -68 0
-131 27 -67 0
-12 -41 -96 0
50 141 89 0
-65 -75 126 0
-73 -142 35 0
65 146 98 0
-49 -137 -135 0
-69 -95 -109 0
104 -127 -71 0
95 -20 84 0
86 -59 -73 0
-146 -33 -95 0
-1 -131 108 0
-25 -63 7 0
84 -124 119 0
54 39 -110 0
105 14 56 0
25 10 102 0
-63 150 62 0
-82 60 57 0
-138 128 74 0
-124 -3 -70 0
-103 -85 107 0
-77 83 -146 0
143 -69 -121 0
-2 -135 -124 0
-119 -63 105 0
84 125 2 0
-5 102 118 0
-45 9 -106 0
78 -23 131 0
85 -108 62 0
-5 105 -139 0
123 138 57 0
25 57 24 0
-18 -126 -24 0
-37 27 -99 0
-149 69 72 0
41 -52 35 0
136 32 -61 0
-8 -38 -91 0
-137 104 59 0
-61 1 21 0
113 98 56 0
-42 -55 74 0
-53 43 138 0
-13 117 -38 0
-124 -79 5 0
77 54 -24 0
106 86 -129 0
114 -78 82 0
-64 98 -92 0
-126 -34 36 0
98 -132 -2 0
-90 110 -41 0
29 -39 -138 0
-115 -128 -41 0
71 140 122 0
-134 -121 53 0
-134 34 -57 0
-46 -134 98 0
24 -133 -19 0
105 -93 85 0
14 24 10 0
-63 -12 -78 0
32 35 -116 0
-123 -16 -102 0
-106 92 149 0
75 31 -70 0
-4 67 86 0
-9 -15 -30 0
-99 -41 134 0
-149 -64 -43 0
-136 -68 -33 0
30 47 -109 0
110 76 -119 0
-14 -87 -94 0
-31 142 -15 0
-110 -115 -86 0
58 -73 27 0
-55 17 -100 0
92 -135 -49 0
-68 87 -61 0
-66 121 117 0
-126 -130 45 0
-116 75 125 0
-14 -28 136 0
-42 -105 143 0
-131 -49 133 0
-82 47 46 0
2 -136 -117 0
-8 -3 -96 0
2 128 -86 0
-26 23 -120 0
-134 -60 5 0
-100 -129 -11 0
-7 98 -36 0
1 35 -139 0
-62 108 -68 0
-112 32 -15 0
122 -79 -2 0
-148 92 -64 0
36 64 81 0
-147 85 -47 0
6 -110 -115 0
140 -118 116 0
-109 -144 -116 0
63 26 -55 0
-74 -116 -42 0
-23 -64 -132 0
128 -32 -72 0
149 16 96 0
-106 -62 -73 0
51 -57 -110 0
-145 132 -10 0
-58 -68 103 0
-21 -16 2 0
-136 -144 74 0
90 50 139 0
111 -100 120 0
37 119 32 0
88 97 -11 0
-139 129 -8 0
-8 -43 -39 0
34 114 137 0
-133 -33 69 0
135 36 -108 0
-131 70 45 0
91 -105 50 0
36 150 -43 0
150 10 76 0
73 -38 -119 0
35 -19 -118 0
-96 -62 -74 0
28 134 -36 0
-63 -134 43 0
-147 141 52 0
-106 -116 -80 0
-66 -45 9 0
-11 78 -29 0
-127 87 37 0
97 53 12 0
-115 137 126 0
-3 -134 -92 0
5 -64 -103 0
99 -57 -87 0
-53 -31 120 0
50 -24 17 0
-58 33 -142 0
-18 -47 33 0
-9 117 30 0
5 21 53 0
42 -37 -100 0
-109 61 -105 0
138 59 141 0
28 124 -78 0
-149 38 -141 0
-17 65 -66 0
-63 -96 -46 0
7 111 -10 0
70 -51 -75 0
4 76 -80 0
-80 46 97 0
69 -112 81 0
65 47 -79 0
-126 41 -88 0
-15 -136 48 0
-61 46 -107 0
-40 138 91 0
-43 -66 71 0
-80 9 131 0
-75 -13 -150 0
93 -98 94 0
-104 79 61 0
-108 -31 -19 0
-60 -121 82 0
26 -50 -131 0
106 -53 -111 0
33 -64 -55 0
-141 -7 -119 0
95 -40 89 0
-132 89 -16 0
-59 -134 -31 0
93 57 118 0
-65 -106 149 0
-96 57 86 0
-136 -115 -126 0
-111 15 -29 0
-28 -136 115 0
-141 50 -11 0
-121 -45 -89 0
61 40 45 0
150 7 -56 0
131 -27 -57 0
36 -96 138 0
-43 -39 -145 0
20 -115 45 0
-124 119 -144 0
95 -104 1 0
-106 -122 43 0
53 -115 94 0
60 -2 130 0
94 -19 -48 0
11 68 91 0
-30 -57 58 0
102 -17 -42 0
148 19 51 0
-16 113 -148 0
4 34 24 0
55 -95 31 0
-136 34 -4 0
54 102 125 0
-53 -107 60 0
-92 110 101 0
15 56 114 0
